
Category	Primary Location	Line Number	Full Filename	GDPR
Password Management: Hardcoded Password	api-auth.servertest.ts	196	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	44	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	527	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	355	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	277	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	711	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	89	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	771	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Privacy Violation	WebhookSecretRender.tsx	10	Src/langfuse/web/src/features/automations/components/WebhookSecretRender.tsx	Privacy Violation
Privacy Violation	WebhookActionForm.tsx	394	Src/langfuse/web/src/features/automations/components/actions/WebhookActionForm.tsx	Privacy Violation
Password Management: Hardcoded Password	api-auth.servertest.ts	294	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	585	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	26	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Privacy Violation	WebhookSecretRender.tsx	10	Src/langfuse/web/src/features/automations/components/WebhookSecretRender.tsx	Privacy Violation
Privacy Violation	ResetPasswordButton.tsx	80	Src/langfuse/web/src/features/auth-credentials/components/ResetPasswordButton.tsx	Privacy Violation
Password Management: Hardcoded Password	api-auth.servertest.ts	572	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	601	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	511	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Privacy Violation	WebhookActionForm.tsx	394	Src/langfuse/web/src/features/automations/components/actions/WebhookActionForm.tsx	Privacy Violation
Privacy Violation	WebhookActionForm.tsx	394	Src/langfuse/web/src/features/automations/components/actions/WebhookActionForm.tsx	Privacy Violation
Privacy Violation	WebhookSecretRender.tsx	10	Src/langfuse/web/src/features/automations/components/WebhookSecretRender.tsx	Privacy Violation
Password Management: Hardcoded Password	api-auth.servertest.ts	519	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	406	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Privacy Violation	ResetPasswordPage.tsx	110	Src/langfuse/web/src/features/auth-credentials/components/ResetPasswordPage.tsx	Privacy Violation
Privacy Violation	WebhookActionForm.tsx	410	Src/langfuse/web/src/features/automations/components/actions/WebhookActionForm.tsx	Privacy Violation
Password Management: Hardcoded Password	api-auth.servertest.ts	616	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
OpenAPI Misconfiguration: Missing Global Security Requirement	openapi.yml	1	Src/langfuse/web/public/generated/organizations-api/openapi.yml	Insufficient Data Protection
Privacy Violation	WebhookActionForm.tsx	394	Src/langfuse/web/src/features/automations/components/actions/WebhookActionForm.tsx	Privacy Violation
OpenAPI Misconfiguration: Missing Global Security Requirement	openapi.yml	1	Src/langfuse/web/public/generated/api-client/openapi.yml	Insufficient Data Protection
Privacy Violation	ResetPasswordPage.tsx	110	Src/langfuse/web/src/features/auth-credentials/components/ResetPasswordPage.tsx	Privacy Violation
OpenAPI Misconfiguration: Missing Global Security Requirement	openapi.yml	1	Src/langfuse/web/public/generated/api/openapi.yml	Insufficient Data Protection
Privacy Violation	WebhookActionForm.tsx	394	Src/langfuse/web/src/features/automations/components/actions/WebhookActionForm.tsx	Privacy Violation
Password Management: Hardcoded Password	README.md	44	Src/langfuse/worker/src/scripts/replayIngestionEvents/README.md	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	58	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Password Management: Hardcoded Password	api-auth.servertest.ts	489	Src/langfuse/web/src/__tests__/api-auth.servertest.ts	Insufficient Data Protection
Privacy Violation	WebhookActionForm.tsx	394	Src/langfuse/web/src/features/automations/components/actions/WebhookActionForm.tsx	Privacy Violation
